City_ID,City,Lat,Lng,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp Celsius
231,aguimes,27.9054,-15.4461,60,40,8.23,ES,1687599552,23.29000000000002
232,lahij,13.1667,44.5833,30,8,3.4,YE,1687599553,37.27999999999997
233,iraray,8.9936,118.0511,79,82,1.13,PH,1687599553,27.879999999999995
234,chapais,49.7834,-74.8492,94,99,2.38,CA,1687599554,18.029999999999973
235,venado tuerto,-33.7456,-61.9688,94,100,2.82,AR,1687599554,11.689999999999998
236,matamba,-8.9833,33.9667,25,11,1.74,TZ,1687599555,19.879999999999995
237,praia,14.9215,-23.5087,73,20,8.23,CV,1687599556,26.44999999999999
238,rio cuarto,-33.1307,-64.3499,100,91,1.54,AR,1687599355,14.860000000000014
239,koungou,-12.7336,45.2042,54,0,7.2,YT,1687599557,29.99000000000001
240,alofi,-19.0595,-169.9187,94,96,3.6,NU,1687599558,23.089999999999975
241,eyl,7.9803,49.8164,42,65,10.69,SO,1687599558,33.74000000000001
242,fethiye,36.6217,29.1164,31,0,3.57,TR,1687599559,29.079999999999984
243,kyren,51.6828,102.1408,58,33,2.78,RU,1687599559,21.019999999999982
244,pisco,-13.7,-76.2167,72,100,1.03,PE,1687599560,19.180000000000007
245,chuy,-33.6971,-53.4616,87,100,1.76,UY,1687599561,13.699999999999989
246,kapaa,22.0752,-159.319,81,100,7.72,US,1687599562,27.329999999999984
247,caucaia,-3.7361,-38.6531,13,20,14.92,BR,1687599563,24.120000000000005
248,norilsk,69.3535,88.2027,86,100,1.38,RU,1687599563,11.5
249,coihaique,-45.5752,-72.0662,93,100,0.51,CL,1687599395,1.1200000000000045
250,wundanyi,-3.4019,38.364,36,55,4.01,KE,1687599565,23.75
251,caravelas,-17.7125,-39.2481,91,100,1.64,BR,1687599566,21.339999999999975
252,sao miguel do araguaia,-13.275,-50.1628,52,93,1.84,BR,1687599567,19.620000000000005
253,zeya,53.75,127.2667,73,64,0.96,RU,1687599568,18.069999999999993
254,tacna,-18.0056,-70.2483,85,0,0.21,PE,1687599432,14.649999999999977
255,dzilam gonzalez,21.2833,-88.9333,93,100,2.04,MX,1687599570,25.120000000000005
256,gikongoro,-2.464,29.5739,57,96,2.78,RW,1687599570,21.620000000000005
257,vilyuysk,63.7553,121.6247,66,100,1.25,RU,1687599571,23.579999999999984
258,grindavik,63.8424,-22.4338,100,100,5.66,IS,1687599572,13.120000000000005
259,airai,-8.9266,125.4092,94,99,1.13,TL,1687599573,16.30000000000001
260,port hardy,50.6996,-127.4199,100,100,1.03,CA,1687599574,10.25
261,samarinda,-0.5,117.15,89,86,1.39,ID,1687599574,26.20999999999998
262,zyryanka,65.75,150.85,36,100,4.01,RU,1687599575,24.649999999999977
263,drummondville,45.8834,-72.4824,81,100,1.85,CA,1687599441,19.660000000000025
264,karlskrona,56.1616,15.5866,54,100,2.84,SE,1687599576,22.399999999999977
265,bathurst,-33.4166,149.5806,85,7,1.66,AU,1687599577,3.769999999999982
266,mount gambier,-37.8333,140.7667,86,97,6.37,AU,1687599578,9.730000000000018
267,saskylakh,71.9167,114.0833,80,96,4.55,RU,1687599579,9.490000000000009
268,sinegorye,62.0788,150.477,45,97,1.54,RU,1687599580,25.110000000000014
269,salamiyah,35.0113,37.0532,18,0,3.58,SY,1687599580,33.54000000000002
270,comodoro rivadavia,-45.8667,-67.5,100,100,1.03,AR,1687599581,6.069999999999993
271,faanui,-16.4833,-151.75,72,6,3.72,PF,1687599582,27.279999999999973
272,nambucca heads,-30.65,153.0,62,13,2.6,AU,1687599583,11.259999999999991
273,whyalla,-33.0333,137.5833,45,3,7.87,AU,1687599584,12.509999999999991
274,pangnirtung,66.1451,-65.7125,82,69,0.61,CA,1687599585,0.8100000000000023
275,sitka,57.0531,-135.33,88,100,0.0,US,1687599553,13.089999999999975
276,victoria,22.2855,114.1577,85,100,4.02,HK,1687599588,30.360000000000014
